"item","categoria"
"Artisan Grilled Chicken Sandwich","No saludable"
"Single Bacon Smokehouse Burger","No saludable"
"Double Bacon Smokehouse Burger","No saludable"
"Grilled Bacon Smokehouse Chicken Sandwich","No saludable"
"Crispy Bacon Smokehouse Chicken Sandwich","No saludable"
"Big Mac","No saludable"
"Cheeseburger","No saludable"
"Classic Chicken Sandwich","No saludable"
"Double Cheeseburger","No saludable"
"Double Quarter Pounder® with Cheese","No saludable"
"Filet-O-Fish®","No saludable"
"Garlic White Cheddar Burger","No saludable"
"Grilled Garlic White Cheddar Chicken Sandwich","No saludable"
"Crispy Garlic White Cheddar Chicken Sandwich","No saludable"
"Hamburger","No saludable"
"Lobster Roll","No saludable"
"Maple Bacon Dijon 1/4 lb Burger","No saludable"
"Grilled Maple Bacon Dijon Chicken Sandwich","No saludable"
"Crispy Maple Bacon Dijon Chicken Sandwich","No saludable"
"McChicken","No saludable"
"McDouble","No saludable"
"McRib","No saludable"
"Pico Guacamole 1/4 lb Burger","No saludable"
"Grilled Pico Guacamole Chicken Sandwich","No saludable"
"Crispy Pico Guacamole Chicken Sandwich","No saludable"
"Premium Buttermilk Crispy Chicken Deluxe Sandwich","No saludable"
"Premium Crispy Chicken Deluxe Sandwich","No saludable"
"Quarter Pounder® with Cheese","No saludable"
"Signature Sriracha Burger","No saludable"
"Grilled Signature Sriracha Chicken Sandwich","No saludable"
"Crispy Signature Sriracha Chicken Sandwich","No saludable"
"Sweet BBQ Bacon 1/4 lb Burger","No saludable"
"Grilled Sweet BBQ Bacon Chicken Sandwich","No saludable"
"Crispy Sweet BBQ Bacon Chicken Sandwich","No saludable"
"3 piece Buttermilk Crispy Chicken Tenders","No saludable"
"4 piece Buttermilk Crispy Chicken Tenders","No saludable"
"6 piece Buttermilk Crispy Chicken Tenders","No saludable"
"10 piece Buttermilk Crispy Chicken Tenders","No saludable"
"12 piece Buttermilk Crispy Chicken Tenders","No saludable"
"20 piece Buttermilk Crispy Chicken Tenders","No saludable"
"4 Piece Chicken McNuggets","No saludable"
"6 Piece Chicken McNuggets","No saludable"
"10 Piece Chicken McNuggets","No saludable"
"20 Piece Chicken McNuggets","No saludable"
"40 piece Chicken McNuggets","No saludable"
"4 piece Sweet N' Spicy Honey BBQ Glazed Tenders","No saludable"
"6 piece Sweet N' Spicy Honey BBQ Glazed Tenders","No saludable"
"10 piece Sweet N' Spicy Honey BBQ Glazed Tenders","No saludable"
"Premium Asian Salad w/o Chicken","No saludable"
"Premium Asian Salad w/ Grilled Chicken","No saludable"
"Premium Asian Salad w/ Crispy Chicken","No saludable"
"Premium Bacon Ranch Salad w/o Chicken","No saludable"
"Premium Bacon Ranch Salad w/ Grilled Chicken","No saludable"
"Premium Bacon Ranch Salad w/ Crispy Chicken","No saludable"
"Premium Southwest Salad w/o Chicken","No saludable"
"Premium Southwest Salad w/ Grilled Chicken","Saludable"
"Premium Southwest Salad w/ Crispy Chicken","No saludable"
"Chargrilled Chicken Club Sandwich","No saludable"
"Chargrilled Chicken Sandwich","No saludable"
"Chick-n-Slider","No saludable"
"1 Piece Chick-n-Strips","No saludable"
"2 Piece Chick-n-Strips","No saludable"
"3 Piece Chick-n-Strips","No saludable"
"4 piece Chick-n-Strips","No saludable"
"Chicken Deluxe","No saludable"
"4 piece Chicken Nuggets","No saludable"
"6 piece Chicken Nuggets","No saludable"
"8 piece Chicken Nuggets","No saludable"
"12 piece Chicken Nuggets","No saludable"
"30 piece Chicken Nuggets","No saludable"
"Chicken Salad Sandwich","No saludable"
"Chicken Sandwich","No saludable"
"4 Piece Grilled Chicken Nuggets","No saludable"
"6 Piece Grilled Chicken Nuggets","No saludable"
"8 piece Grilled Chicken Nuggets","No saludable"
"12 Piece Grilled Chicken Nuggets","No saludable"
"Spicy Grilled Chicken Sub Sandwich","Saludable"
"Regular Grilled Chicken Sub Sandwich","No saludable"
"Smokehouse BBQ Bacon Sandwich","No saludable"
"Spicy Chicken Sandwich","No saludable"
"Spicy Deluxe","No saludable"
"Chargrilled Chicken Cool Wrap","No saludable"
"Hatch Green Chile Cheeseburger","No saludable"
"Jalapeno Burger","No saludable"
"Jr. Burger","No saludable"
"Jr. Chili Cheeseburger","No saludable"
"Jr. Deluxe Burger","No saludable"
"Jr. Deluxe Cheeseburger","No saludable"
"Jr. Double Cheeseburger","No saludable"
"Sonic Bacon Cheeseburger (w/mayo)","No saludable"
"Sonic Burger W/ Mustard","No saludable"
"Sonic Burger W/ Ketchup","No saludable"
"Sonic Burger W/ Mayonnaise","No saludable"
"Sonic Cheeseburger W/ Mustard","No saludable"
"Sonic Cheeseburger W/ Ketchup","No saludable"
"Sonic Cheeseburger W/ Mayonnaise","No saludable"
"Super Sonic Bacon Double Cheeseburger (w/mayo)","No saludable"
"Super Sonic Double Cheeseburger W/ Mustard","No saludable"
"Super Sonic Double Cheeseburger W/ Ketchup","No saludable"
"Super Sonic Double Cheeseburger W/ Mayo","No saludable"
"Super Sonic Jalapeno Double Cheeseburger","No saludable"
"Veggie Burger W/ Ketchup","No saludable"
"Veggie Burger With Mustard","No saludable"
"Veggie Burger W/ Mustard","No saludable"
"Grilled Asiago Caesar Chicken Club Sandwich","No saludable"
"Crispy Asiago Caesar Chicken Club Sandwich","No saludable"
"Grilled Chicken Sandwich","No saludable"
"Crispy Chicken Sandwich","No saludable"
"Chicken Strip Sandwich","No saludable"
"3 Piece Crispy Chicken Tender Dinner","No saludable"
"5 Piece Crispy Chicken Tender Dinner","No saludable"
"Deluxe Ultimate Chicken Sandwich","No saludable"
"Buffalo Dunked Ultimate Chicken Sandwich","No saludable"
"Garlic Parmesan Dunked Ultimate Chicken Sandwich","No saludable"
"Small Jumbo Popcorn Chicken","No saludable"
"Large Jumbo Popcorn Chicken","No saludable"
"Small Spicy Jumbo Popcorn Chicken","No saludable"
"Large Spicy Jumbo Popcorn Chicken","No saludable"
"3 Piece Super Crunch Chicken Strip Dinner","No saludable"
"4 Piece Super Crunch Chicken Strip Dinner","No saludable"
"5 Piece Super Crunch Chicken Strip Dinner","No saludable"
"3 Piece Super Crunch Chicken Strips","No saludable"
"4 Piece Super Crunch Chicken Strips","No saludable"
"5 Piece Super Crunch Chicken Strips","No saludable"
"Traditional Ultimate Chicken Sandwich","No saludable"
"Ultimate Chicken Club","No saludable"
"All Beef All-american Style Dog – 6""","No saludable"
"All Beef Chicago Dog – 6""","No saludable"
"All Beef Chili Cheese Coney – 6""","No saludable"
"All Beef New York Dog – 6""","No saludable"
"All Beef Regular Hot Dog – 6""","No saludable"
"Cheesy Bacon Pretzel Dog - 6 In.","No saludable"
"Corn Dog","No saludable"
"Footlong Quarter Pound Coney","No saludable"
"The Original Pretzel Dog","No saludable"
"Arby's Melt","No saludable"
"Arby-Q Sandwich","No saludable"
"Beef 'n Cheddar Classic","No saludable"
"Beef 'n Cheddar Mid","No saludable"
"Bourbon BBQ Brisket Sandwich","No saludable"
"Bourbon BBQ Chicken Sandwich","No saludable"
"Bourbon BBQ Steak Sandwich","No saludable"
"Buttermilk Buffalo Chicken Sandwich","No saludable"
"Buttermilk Chicken Bacon & Swiss","No saludable"
"Buttermilk Chicken Cordon Bleu Sandwich","No saludable"
"Buttermilk Crispy Chicken Sandwich","No saludable"
"Classic French Dip & Swiss/Au Jus","No saludable"
"Classic Roast Beef","No saludable"
"Double Roast Beef","No saludable"
"Fire-Roasted Philly Steak","No saludable"
"Grand Turkey Club","No saludable"
"Greek Gyro","No saludable"
"Half Pound Beef 'n Cheddar Sandwich","No saludable"
"Half Pound French Dip & Swiss","No saludable"
"Half Pound Roast Beef Sandwich","No saludable"
"Ham & Swiss Melt","No saludable"
"Loaded Italian Sandwich","No saludable"
"Pecan Chicken Salad Flatbread","No saludable"
"Pecan Chicken Salad Sandwich","No saludable"
"2 piece Prime-Cut Chicken Tenders","No saludable"
"3 piece Prime-Cut Chicken Tenders","No saludable"
"5 piece Prime-Cut Chicken Tenders","No saludable"
"Reuben Sandwich","No saludable"
"Roast Beef Gyro","No saludable"
"Roast Turkey & Swiss Sandwich","No saludable"
"Roast Turkey & Swiss Wrap","No saludable"
"Roast Turkey, Ranch & Bacon Sandwich","No saludable"
"Roast Turkey, Ranch & Bacon Wrap","No saludable"
"Smoke Mountain w/ Beef Short Rib","No saludable"
"Smokehouse Beef Short Rib Sandwich","No saludable"
"Smokehouse Brisket","No saludable"
"Super Roast Beef","No saludable"
"Three Cheese Steak Sandwich","No saludable"
"Triple Decker Sandwich","No saludable"
"Turkey Avocado Club","No saludable"
"Turkey Gyro","No saludable"
"Ultimate BLT","No saludable"
"Buffalo Chicken Slider","No saludable"
"Chicken Tender 'n Cheese Slider","No saludable"
"Corned Beef 'n Cheese Slider","No saludable"
"Ham 'n Cheese Slider","No saludable"
"Jalapeno Roast Beef 'n Cheese Slider","No saludable"
"Pizza Slider","No saludable"
"Roast Beef 'n Cheese Slider","No saludable"
"Turkey 'n Cheese Slider","No saludable"
"Chopped Side Salad","No saludable"
"Crispy Chicken Farmhouse Salad","No saludable"
"Greek Gyro Salad","No saludable"
"Roast Turkey Farmhouse Salad","No saludable"
"Super Greek Salad","No saludable"
"American Brewhouse King","No saludable"
"Bacon & Swiss Sourdough King","No saludable"
"Bacon Cheeseburger","No saludable"
"Bacon Cheeseburger Deluxe","No saludable"
"Bacon King","No saludable"
"Bacon King Jr","No saludable"
"Double Bacon Cheeseburger","No saludable"
"Double Hamburger","No saludable"
